Designator,Mid X,Mid Y,Rotation,Layer
S50,121.6025,-190.8175,0.0,top
S51,140.6525,-190.8175,0.0,top
S52,159.7025,-190.8175,0.0,top
S53,228.75875,-190.8175,0.0,top
S54,297.815,-190.8175,0.0,top
S55,316.865,-190.8175,0.0,top
S56,335.915,-190.8175,0.0,top
S6,235.9025,-114.6175,0.0,top
S7,254.9525,-114.6175,0.0,top
S8,274.0025,-114.6175,0.0,top
S9,293.0525,-114.6175,0.0,top
SW1,352.54,-170.9925,90.0,top
SW2,352.54,-190.0425,90.0,top
U1,79.7025,-129.8475,0.0,top
U2,95.8355,-112.5347,0.0,top
